cause,sex,frmat,IM_Frmat,deaths1,deaths2,deaths3,deaths4,deaths5,deaths6,deaths7,deaths8,deaths9,deaths10,deaths11,deaths12,deaths13,deaths14,deaths15,deaths16,deaths17,deaths18,deaths19,deaths20,deaths21,deaths22,deaths23,deaths24,deaths25,deaths26,IM_deaths1,IM_deaths2,IM_deaths3,IM_deaths4
C753,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C753,2,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C758,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C758,2,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C759,1,00,01,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
C759,2,00,01,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0
C760,1,00,01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,6,0,1,2,3,1,0,0,0,0,0,0
C760,2,00,01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,1,0,0,0,0,0,0,0
C761,1,00,01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,0,0,0,0,0,0,0,0
C761,2,00,01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0
C762,1,00,01,22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,2,3,5,3,2,0,0,0,0,0,0,0
C762,2,00,01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,6,4,4,10,2,0,0,0,0,0,0
C763,1,00,01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,1,0,0,0,0,0,0,0
C763,2,00,01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,3,3,3,3,2,0,0,0,0,0,0
C765,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C767,1,00,01,159,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,28,32,22,13,16,14,16,4,0,0,0,0,0,0
C767,2,00,01,158,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,8,7,17,21,27,25,26,11,2,0,0,0,0,0
C768,1,00,01,164,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16,18,19,22,24,23,15,18,4,0,0,0,0,0,0
C768,2,00,01,171,0,0,0,0,0,0,0,0,0,0,0,1,1,6,11,7,15,15,26,33,27,19,9,1,0,0,0,0,0
